id;idServicio;capacidad
1;3;4789
2;3;2587
3;3;2681
4;3;452
5;3;9085
6;3;7567
7;3;5569
8;3;376
9;3;8947
10;3;4766
11;3;6044
12;3;2959
13;3;6949
14;3;6986
15;3;8581
16;3;8816
17;3;1861
18;3;5080
19;3;9158
20;3;2469
21;3;4400
22;3;9816
23;3;2428
24;3;4172
25;3;2121
26;3;5919
27;3;7735
28;3;441
29;3;2104
30;3;1840
31;3;5966
32;3;8619
33;3;9005
34;3;7474
35;3;3774
36;3;2986
37;3;2825
38;3;2787
39;3;2064
40;3;3778
41;3;7058
42;3;4469
43;3;918
44;3;3319
45;3;8601
46;3;6843
47;3;922
48;3;4689
49;3;4623
50;3;2805
51;3;7124
52;3;2232
53;3;3711
54;3;5866
55;3;940
56;3;6122
57;3;9086
58;3;5893
59;3;7249
60;3;904
61;3;420
62;3;5032
63;3;9769
64;3;3311
65;3;2961
66;3;7727
67;3;1353
68;3;9108
69;3;6152
70;3;8378
71;3;1329
72;3;3898
73;3;7302
74;3;3336
75;3;275
76;3;3896
77;3;3899
78;3;5472
79;3;340
80;3;4478
81;3;1424
82;3;5210
83;3;5007
84;3;9844
85;3;1130
86;3;517
87;3;1124
88;3;9991
89;3;4680
90;3;7056
91;3;113
92;3;3999
93;3;4909
94;3;8567
95;3;218
96;3;6966
97;3;4062
98;3;9348
99;3;8808
100;3;3823
101;3;351
102;3;7146
103;3;9215
104;3;5938
105;3;8155
106;3;7711
107;3;6081
108;3;1657
109;3;4297
110;3;8212
111;3;5343
112;3;663
113;3;1413
114;3;1570
115;3;8222
116;3;3593
117;3;6834
118;3;5827
119;3;3384
120;3;3110
121;3;5700
122;3;9521
123;3;3060
124;3;975
125;3;8635
126;3;133
127;3;5626
128;3;407
129;3;1339
130;3;840
131;3;8753
132;3;5451
133;3;1530
134;3;9512
135;3;1487
136;3;4290
137;3;2656
138;3;5082
139;3;7647
140;3;9117
141;3;8437
142;3;7769
143;3;1188
144;3;4641
145;3;6855
146;3;3595
147;3;2628
148;3;2567
149;3;5541
150;3;1425
151;3;924
152;3;8765
153;3;3883
154;3;5048
155;3;2246
156;3;1647
157;3;938
158;3;798
159;3;4691
160;3;483
161;3;9095
162;3;1425
163;3;999
164;3;4148
165;3;7194
166;3;5608
167;3;9327
168;3;7523
169;3;1243
170;3;5048
171;3;8949
172;3;1198
173;3;8137
174;3;5739
175;3;5136
176;3;3595
177;3;4484
178;3;8132
179;3;5102
180;3;9081
181;3;7123
182;3;146
183;3;6563
184;3;498
185;3;6962
186;3;6981
187;3;1799
188;3;6007
189;3;5072
190;3;3468
191;3;4887
192;3;4758
193;3;3957
194;3;2818
195;3;3492
196;3;2872
197;3;9920
198;3;7639
199;3;9933
200;3;1965
201;3;4310
202;3;2615
203;3;8923
204;3;6220
205;3;5750
206;3;4144
207;3;9943
208;3;3724
209;3;5286
210;3;5880
211;3;5631
212;3;4620
213;3;5243
214;3;9533
215;3;3071
216;3;2805
217;3;7304
218;3;972
219;3;3378
220;3;8436
221;3;2397
222;3;1376
223;3;2996
224;3;8625
225;3;7155
226;3;3253
227;3;457
228;3;5956
229;3;4526
230;3;6881
231;3;8944
232;3;3773
233;3;5146
234;3;6645
235;3;7213
236;3;5790
237;3;2360
238;3;3147
239;3;5054
240;3;9830
241;3;9541
242;3;6594
243;3;994
244;3;6165
245;3;9399
246;3;1119
247;3;5207
248;3;345
249;3;3708
250;3;205
251;3;3021
252;3;3111
253;3;1241
254;3;5879
255;3;9028
256;3;3874
257;3;3252
258;3;9510
259;3;8238
260;3;6561
261;3;9290
262;3;830
263;3;3994
264;3;2407
265;3;9906
266;3;5873
267;3;6395
268;3;9107
269;3;7498
270;3;5725
271;3;2325
272;3;1757
273;3;1890
274;3;9455
275;3;3695
276;3;8636
277;3;5304
278;3;6863
279;3;8435
280;3;9055
281;3;202
282;3;3920
283;3;1215
284;3;7819
285;3;5561
286;3;2526
287;3;4379
288;3;7095
289;3;9417
290;3;3146
291;3;6168
292;3;6656
293;3;2681
294;3;8430
295;3;8724
296;3;837
297;3;1187
298;3;2342
299;3;1202
300;3;2350
301;3;9343
302;3;5530
303;3;159
304;3;5498
305;3;7727
306;3;5471
307;3;4577
308;3;6193
309;3;9737
310;3;6845
311;3;6413
312;3;8318
313;3;9446
314;3;2536
315;3;3273
316;3;2724
317;3;3145
318;3;4225
319;3;8825
320;3;3515
321;3;3959
322;3;8866
323;3;7405
324;3;6083
325;3;5815
326;3;5624
327;3;5857
328;3;4946
329;3;8093
330;3;3490
331;3;2340
332;3;6250
333;3;2968
